Date,study,Quran,exercise ,Religious knowledge ,Gaming ,majlis,,
Apr 15,2 hours,45 mints,40 mints,40 mints,45 mints,15 mints,,
Apr 16,1:30 mints,40 mints,40 mints,2 hours ,1 hour,20 mints,,
Apr 17,1:30 mints,10 mints,45 mints,50 mints,10 mints ,20 mints ,,
Apr 18,5 mints,40 mints,25 mints,35 mints ,90 mints ,10 mints,,
Apr 19,sunday,40 mints,5 mints,sunday,90 mints,10 mints,,
Apr 20,60 mints,30 mints ,15 mints ,85 mints,50 mints,30 mints ,,
Apr 21,60 mints,30 mints,10 mints,25 mints,45 mints,30 mints,,
Apr 22,60 mints,30 mints,10 mints,20 mints,45 mints,10 mints,,
Apr 23,60 mints,30 mints,10 mints,30 mints,45 mints,20 mints,,
Apr 24,60 mints,30 mints,10 mints,50 mints,rain,20 mints,,
Apr 25,60 mints,30 mints,5 mints,30 mints,30 mints ,10 mints,,
Apr 26,Sunday ,20 mints,5 mints ,40 mints ,25 mints,10 mints,,
Apr 27,30 mints,20 mints,5 mints,10 mints,20 mints,10 mints,,
Apr 28,270 mints,30 mints,5 mints ,40 mints,60 mints,10 mints,,
Apr 29,60 mints,20 mints,5 mints ,20 mints,60 mints,30 mints,,
Apr 30,20 mints ,20 mints,5 mints ,20 mints,60 minst,20 mints ,,
May 1,10 mints,30 mints,5 mints ,20 mints,60 mints,20 mints,,
May 2,10 mints,20 mints,5 mints ,20 mints,60 mints,20 mints,,
May 3,10 mints,20 mints,5 mints ,5 mints,60 mints,10 mints,,
May 4,10 mints,30 mints,5 mints,5 mints ,60 mints,20 mints,,
May 5,10 mints,30 mints,5 mints,45 mints,60 mints,20 mints,,
May 6,10 mints ,30 mints,5 mints,10 mints,60 mints,20 mints,,
May 7,complete,30 mints,5 mints,10 mints,120 mints,20 mints,,
May 8,complete ,30 mints,5 mints,15 mints,120 mints,20 mints,,
May 9,complete ,60 mints,0 mints,23 mints,120 mints,30 mints,,
May 10,complete ,30 mints,0 mints,30 mints,120 mints,30 mints ,,
May 11,complete ,30 mints,0 mints,20 mints,60 mints,30 mints,,
May 12,complete ,30 mints ,2 mints,25 mints,60 mints,30 mints,,
May 13,complete ,60 mints,0 mints,12 mints,60 mints,30 mints,,
May 14,complete ,30 mints,5 mints,20 mints,60 mints,20 mints,,
May 15,complete ,30 mints,5 mints,20 mints,shahadat,30 mints,,
May 16,complete ,30 mints,0 mints,15 mints,60 mints,20 mints,,
May 17,complete ,30 mints,60 mints,10 mints,100 mints,20 mints,,
May 18,complete ,60 mints,45 mints,12 mints,120 mints,20 mints ,,
